,file,speaker,sex,age,nationality,level,code,type,ref,ans,rec,count,C,S,I,D,error,per
451,0099684,0463,F,94,Spanish,A,RS030,S,웬일로 여기까지 직접 오셨어요,OE N I L L O iEO G I GG A J I J I k JJ EO p O S iEO SS EO iO,OE N I L L O iEO G I GG A J I J I k JJ EO p O S iEO S iEO SS EO iO,"Counter({'C': 25, 'I': 2})",25,0,2,0,"insertion of < S >, insertion of < iEO >",0.06756756756756757
452,0099724,0463,F,94,Spanish,A,RS042,S,이 업무에 적합한 사람이 있으면 언제든지 말씀해 주세요,I EO M M OE J EO Kh A Ph A N S A R A M I I SS EU M iEO N EO N J E D EU N J I M A L SS EU M H E J U S E iO,I EO M M OE J EO Kh A Ph A N S A R A M I I SS EU M iEO N EO N J E D EU N J I M A R M H E J U S E iO,"Counter({'C': 43, 'D': 2, 'S': 1})",43,1,0,2,"deletion of < L >, deletion of < SS >, substitution of < EU > to < R >",0.04918032786885246
453,0099799,0463,F,94,Spanish,A,RS068,S,그것도 옷이라고 입고 다니니,G EU G EO t DD O O S I R A G O I p GG O D A N I N I,G EU EO t DD O O S I R A G O I p GG O D A N I N I,"Counter({'C': 23, 'D': 1})",23,0,0,1,deletion of < G >,0.03225806451612903
454,0099484,0463,F,94,Spanish,A,RW067,W,더워요,D EO uEO iO,D EO EO iO,"Counter({'C': 3, 'S': 1})",3,1,0,0,substitution of < uEO > to < EO >,0.08333333333333333
455,0099517,0463,F,94,Spanish,A,RW083,W,간장,G A N J A NG,A N J A NG,"Counter({'C': 5, 'D': 1})",5,0,0,1,deletion of < G >,0.1875
830,0165040,0737,F,96,Spanish,B,RS003,S,십만 원만 빌려줄 수 있어요,S I M M A N uEO N M A N B I L L iEO J U L S U I SS EO iO,S I M M A N uEO N M A N B I L iEO J U L S U I SS EO iO,"Counter({'C': 24, 'D': 1})",24,0,0,1,deletion of < L >,0.030303030303030304
831,0165045,0737,F,96,Spanish,B,RS008,S,일 년 전 우리가 한국말을 어떻게 했는지 생각 나세요,I L N iEO N J EO N U R I G A H A N G U NG M A R EU L EO DD EO Kh E H E N N EU N J I S E NG G A k N A S E iO,I L N iEO N J EO N U R I G A H A N G U NG M A R EU L EO DD EO Kh E H E N EU N J I S E NG G A k N A S E iO,"Counter({'C': 47, 'D': 1})",47,0,0,1,deletion of < N >,0.015873015873015872
832,0165050,0737,F,96,Spanish,B,RS013,S,오늘 그 가게 문 안 열었어요,O N EU L G EU G A G E M U N A N iEO R EO SS EO iO,O N EU L L G EU G A G E M U N A N iEO R EO SS EO iO,"Counter({'C': 21, 'I': 1})",21,0,1,0,insertion of < L >,0.03389830508474576
833,0165051,0737,F,96,Spanish,B,RS014,S,오늘 날씨가 참 따뜻하지요,O N EU L N A L SS I G A CHh A M D A DD EU Th A J I iO,O N EU L N A L SS I G A CHh A M D A DD EU Th A J I,"Counter({'C': 22, 'D': 1})",22,0,0,1,deletion of < iO >,0.04878048780487805
834,0165053,0737,F,96,Spanish,B,RS016,S,새 직장이 마음에 들면 좋겠네요,S E J I k JJ A NG I M A EU M E D EU L M iEO N J O Kh E N N E iO,S E J I k JJ A NG I M A EU M H E D EU L M iEO N J O Kh E N N E iO,"Counter({'C': 28, 'I': 1})",28,0,1,0,insertion of < H >,0.026143790849673203
835,0164913,0737,F,96,Spanish,B,RW057,W,야구,iA G U,iA k GG U k,"Counter({'C': 2, 'I': 2, 'S': 1})",2,1,2,0,"insertion of < k >, substitution of < G > to < GG >, insertion of < k >",0.4074074074074074
836,0164931,0737,F,96,Spanish,B,RW074,W,희망,H euI M A NG,euI N A k,"Counter({'C': 2, 'S': 2, 'D': 1})",2,2,0,1,"deletion of < H >, substitution of < M > to < N >, substitution of < NG > to < k >",0.3103448275862069
837,0164932,0737,F,96,Spanish,B,RW075,W,무늬,M U N euI,BB U L E,"Counter({'S': 3, 'C': 1})",1,3,0,0,"substitution of < M > to < BB >, substitution of < N > to < L >, substitution of < euI > to < E >",0.30434782608695654
838,0164961,0737,F,96,Spanish,B,RW091,W,부엌,B U EO Kh,Ph U EO Kh,"Counter({'C': 3, 'S': 1})",3,1,0,0,substitution of < B > to < Ph >,0.13043478260869565
839,0165006,0737,F,96,Spanish,B,RW121,W,국민,G U NG M I N,G EU NG M I N,"Counter({'C': 5, 'S': 1})",5,1,0,0,substitution of < U > to < EU >,0.0625
